gene_name	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
KDM7A	ENSG00000006459.11	432.338254887462	1.70745870626933	0.578424892063933	2.95191083526296	0.00315814111643981	0.0399907601776449
ETV1	ENSG00000006468.15	377.431832469533	0.934204000069866	0.633654323071407	1.47431172810698	0.140397678862395	0.437072266245767
AGK	ENSG00000006530.18	1548.44186168455	-0.45293073042676	0.379282169538867	-1.19417881145701	0.23240802958494	0.558907912574686
ALDH3B1	ENSG00000006534.17	5257.68938609205	0.906694069548589	0.407688661586326	2.22398647541637	0.026149354203047	0.162383641647328
PHTF2	ENSG00000006576.17	732.358643196102	-1.07458651992143	0.499871824115657	-2.1497241254246	0.0315770429566012	0.183057279995321
CCL26	ENSG00000006606.9	89.6887305268645	-2.21975285430504	0.778154692732857	-2.85258557846555	0.00433651341894851	0.0499883601476416
FARP2	ENSG00000006607.14	1255.4110763568	-0.691415147260835	0.442962982303422	-1.56088696997987	0.118550422214619	0.399531388199684
USH1C	ENSG00000006611.17	101.01805324758	-0.61096796694251	0.978451547649673	-0.624423323168234	0.53234961194739	0.797244719474161
GGCT	ENSG00000006625.18	1976.33262828358	-0.910138047540291	0.455985150272441	-1.9959817704513	0.0459359070901	0.228995333444535
DBF4	ENSG00000006634.8	1327.52194693094	-2.19396917397591	0.420966325677808	-5.21174507353612	1.87072500685962e-07	1.16392672542176e-05
TBXA2R	ENSG00000006638.13	30.3372522049841	-0.486557150290261	0.996366087543784	-0.488331704955664	0.625314907786434	0.84713608695305
IFRD1	ENSG00000006652.15	2636.82907279882	0.177455179795728	0.450430467287472	0.393967976598868	0.693604682159025	0.882970889289998
COX10	ENSG00000006695.12	856.786220042173	-0.566878918127957	0.486420363764522	-1.16540951069718	0.243853269358606	0.570804252356115
GTF2IRD1	ENSG00000006704.11	2183.21091707354	0.295093259868239	0.427955824329579	0.689541403789801	0.490482627304389	0.770405501116695
PAF1	ENSG00000006712.15	3545.37368829223	-0.326567864242701	0.407072249540292	-0.802235634120221	0.422416667231295	0.723744322505982
VPS41	ENSG00000006715.16	2275.42652673185	1.08039598393912	0.383913906768025	2.8141621464938	0.00489045539312156	0.0544996468126638
ARHGAP44	ENSG00000006740.18	260.969972825143	-0.605147833131869	0.517392471116104	-1.16961082140693	0.242157620507114	0.568711297070348
ELAC2	ENSG00000006744.19	4651.14146349788	-1.32618559608603	0.368701657581661	-3.59690706243247	0.000322023474608118	0.00732867428080492
SCIN	ENSG00000006747.15	18.0792989202583	0.58282118630103	1.01767523238713	0.572698605363447	0.566848781917032	0.815569860255961
ARSD	ENSG00000006756.16	878.067729750289	0.890217422353301	0.512348800936865	1.73752221284694	0.0822950367028901	0.323513821886696
PNPLA4	ENSG00000006757.12	783.311406365551	0.439127745010662	0.594605008951412	0.738520090480007	0.460198463262013	0.750451324667522
ADIPOR2	ENSG00000006831.10	3684.57936821745	-0.591749720767501	0.373336291097768	-1.58503133737013	0.112959214447105	0.388581299104589
CDKL3	ENSG00000006837.12	114.398457636302	1.57164583882056	0.550300417053068	2.85597791700202	0.00429044974190158	0.0497231106804737
MARK4	ENSG00000007047.16	2317.75340211991	0.705616955115111	0.396303434412927	1.78049669481263	0.0749947097595963	0.307065451561545
PROM1	ENSG00000007062.12	281.98246679445	2.8944797286453	2.07692239891907	1.3936388428146	0.163426692726446	0.473004168660468
CCDC124	ENSG00000007080.11	3132.52629232131	-1.2092023048556	0.382495438732617	-3.16135091404552	0.00157039184846471	0.0247438689629845
PAFAH1B1	ENSG00000007168.14	6175.28604427435	-1.22098830954317	0.410081895032815	-2.97742554434271	0.0029068023820985	0.037718481177337
BLTP2	ENSG00000007202.16	8390.58662212872	-0.420822520965936	0.422817051569704	-0.995282757409231	0.319598761481712	0.642789088417312
